temperatura_c,umidade_pct,luz_adc,saudavel
21.3,34.9,2636,0
17.9,69.3,2102,1
18.8,79.0,1930,1
6.8,61.9,2356,0
6.1,70.9,670,0
20.6,70.6,2095,1
8.1,71.8,2291,0
15.2,95.2,408,0
26.3,31.5,1484,0
34.8,56.9,3161,0
33.5,52.8,3386,0
22.6,30.6,3268,0
30.6,44.7,4094,0
33.2,51.8,3841,0
21.0,65.4,1537,1
8.2,59.4,949,0
19.7,73.4,2203,1
18.2,73.0,2056,1
24.3,90.3,842,0
16.2,90.0,704,0
26.4,21.3,1234,0
7.2,64.7,1205,0
20.8,65.8,2473,1
16.3,71.4,2164,1
25.5,94.3,1524,0
21.9,62.5,2510,1
19.0,26.8,1665,0
16.3,72.0,1891,1
24.0,62.9,1114,1
19.3,60.0,2131,1
19.8,68.3,2129,1
20.1,77.4,1436,1
24.6,68.7,2109,1
19.1,95.3,845,0
30.8,54.3,1425,0
17.6,72.3,2418,1
21.8,69.6,1980,1
21.2,66.0,1000,1
17.8,91.6,1765,0
19.3,74.0,1447,1
18.9,72.2,2138,1
16.9,69.0,1565,1
6.8,87.1,237,0
21.3,68.0,2891,1
5.3,85.3,597,0
20.1,95.8,444,0
5.2,61.8,1665,0
20.8,69.6,1325,1
30.1,53.4,2091,0
20.4,75.2,1558,1
23.3,23.1,1713,0
20.4,77.4,1373,1
5.2,74.0,271,0
20.0,69.8,1292,1
24.0,27.1,1708,0
23.5,64.6,1870,1
18.2,73.2,2366,1
34.5,47.7,3636,0
20.5,66.4,2453,1
34.2,64.3,750,0
17.7,94.1,1905,0
21.8,65.7,1942,1
20.7,30.0,2349,0
21.9,33.8,2066,0
23.1,94.0,464,0
19.9,75.5,2277,1
21.5,68.4,2130,1
6.6,77.0,1372,0
18.6,76.5,2409,1
24.3,91.7,1117,0
19.8,68.8,1824,1
7.8,61.3,1145,0
22.3,65.1,1579,1
5.4,71.0,927,0
19.8,70.2,2144,1
22.8,72.2,1714,1
19.3,75.8,2084,1
32.9,55.5,2101,0
21.3,71.7,2377,1
22.3,70.4,1549,1
6.6,53.5,1672,0
19.5,67.8,1982,1
33.1,57.4,2181,0
16.3,96.2,626,0
9.1,58.1,429,0
20.1,68.7,1747,1
20.4,90.1,1193,0
30.9,51.3,1769,0
20.4,32.0,1668,0
24.1,69.2,1633,1
19.7,34.1,1929,0
30.8,46.0,2341,0
16.1,77.4,1767,1
22.2,99.0,650,0
21.5,65.4,1909,1
3.0,79.6,1075,0
31.2,48.6,2126,0
24.3,74.5,1957,1
18.3,70.2,2516,1
19.9,72.2,2051,1
18.1,69.9,2838,1
16.3,29.2,2073,0
18.0,73.2,1351,1
10.0,65.3,856,0
21.0,76.0,1958,1
5.0,48.6,1997,0
19.0,72.2,1248,1
9.3,71.6,581,0
24.2,98.9,1742,0
20.0,77.5,1990,1
23.8,70.0,2222,1
19.3,64.6,2089,1
20.4,75.6,1775,1
21.3,31.2,1270,0
19.9,96.6,1348,0
16.4,95.5,1121,0
7.6,65.8,1016,0
19.8,92.3,1284,0
